--------------------- 
# threads, 16 
# lock-calls, 10000 
# repetitions, 20 
--------------------- 
thread ID, # CS reached 
0, 625.050000 
1, 625.000000 
2, 625.000000 
3, 624.950000 
4, 625.000000 
5, 624.950000 
6, 625.150000 
7, 625.050000 
8, 625.050000 
9, 625.050000 
10, 625.050000 
11, 625.050000 
12, 625.000000 
13, 624.950000 
14, 624.800000 
15, 624.900000 
