--------------------- 
# threads, 16 
# lock-calls, 1000 
# repetitions, 10 
--------------------- 
thread ID, # CS reached 
0, 62.400000 
1, 62.800000 
2, 62.300000 
3, 62.200000 
4, 62.600000 
5, 62.700000 
6, 63.000000 
7, 62.700000 
8, 62.400000 
9, 62.400000 
10, 62.800000 
11, 62.700000 
12, 62.100000 
13, 62.000000 
14, 62.400000 
15, 62.500000 
