--------------------- 
# threads, 16 
# lock-calls, 10000 
# repetitions, 20 
--------------------- 
thread ID, # CS reached 
0, 625.000000 
1, 624.950000 
2, 625.150000 
3, 625.250000 
4, 625.100000 
5, 625.000000 
6, 625.000000 
7, 624.950000 
8, 624.850000 
9, 624.950000 
10, 624.950000 
11, 624.800000 
12, 625.050000 
13, 624.850000 
14, 625.100000 
15, 625.050000 
